Legal Name,Borough,Permit Expiration,Status,Age Range,Maximum Capacity,Child Care Type,Date Permitted,Current Date,Years in operations,Violation Rate Percent,Total Educational Workers,Public Health Hazard Violation Rate,Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Violation Status,Inspection Summary Result
"GRAND STREET SETTLEMENT, INC.",MANHATTAN,11/1/22,Permitted,2 YEARS - 5 YEARS,77,Child Care - Pre School,10/30/04,4/17/22,17,33.3333,11,33.3333,33.3333,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection; Violations corrected at time of inspection
ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL,MANHATTAN,5/18/23,Permitted,2 YEARS - 5 YEARS,56,Child Care - Pre School,5/18/17,4/17/22,4,0,7,0,0,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LA MATERNELLE LLC,MANHATTAN,9/10/22,Permitted,0 YEARS - 2 YEARS,35,Child Care - Infants/Toddlers,9/10/20,4/17/22,1,100,5,33.3333,100,2/1/22,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
CNC CARE CENTER INC.,BROOKLYN,9/14/23,Permitted,2 YEARS - 5 YEARS,19,Child Care - Pre School,9/14/05,4/17/22,16,33.3333,3,0,33.3333,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
RECREATION ROOMS AND SETTLEMENT,BROOKLYN,3/2/24,Permitted,2 YEARS - 5 YEARS,34,Child Care - Pre School,2/26/04,4/17/22,18,0,5,0,0,1/26/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Inner Force Tots Inc.,QUEENS,8/17/23,Permitted,2 YEARS - 5 YEARS,72,Child Care - Pre School,8/17/17,4/17/22,4,14.2857,12,0,14.2857,1/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,MANHATTAN,10/28/22,Permitted,0 YEARS - 2 YEARS,8,Child Care - Infants/Toddlers,10/28/10,4/17/22,11,40,3,20,40,2/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"SAMUEL FIELD YM & YWHA, INC.",QUEENS,5/1/23,Permitted,2 YEARS - 5 YEARS,114,Child Care - Pre School,5/1/19,4/17/22,2,0,13,0,0,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
OUTSHINE KIDS CORP,QUEENS,9/10/23,Permitted,2 YEARS - 5 YEARS,54,Child Care - Pre School,9/10/21,4/17/22,0,50,4,50,50,3/25/22,"Epi auto injector Not provided, Not maintained or expired.",CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
STEP AHEAD LLC.,BROOKLYN,5/1/23,Permitted,2 YEARS - 5 YEARS,64,Child Care - Pre School,5/1/07,4/17/22,14,14.2857,16,0,14.2857,1/26/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"FORT GEORGE COMMUNITY SERVICES, INC.",BRONX,8/7/22,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,8/7/14,4/17/22,7,100,6,0,100,1/13/22,Required food protection procedures were Not implemented at time of inspection. Holder of food protection certificate was Not on site during hours of food preparation activity.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
RIVERDALE TEMPLE,BRONX,1/16/23,Permitted,2 YEARS - 5 YEARS,108,Child Care - Pre School,1/8/05,4/17/22,17,100,14,50,100,3/30/22,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
CARRIG MONTESSORI LLC,BROOKLYN,4/5/24,Permitted,2 YEARS - 5 YEARS,41,Child Care - Pre School,4/5/10,4/17/22,12,16.6667,6,0,16.6667,2/3/22,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"NEW LIFE CHILD DEVELOPMENT CENTER, INC.",BROOKLYN,7/26/22,Permitted,2 YEARS - 5 YEARS,117,Child Care - Pre School,7/26/04,4/17/22,17,16.6667,17,0,16.6667,2/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
PROFESSIONAL CHILDCARE INC.,QUEENS,5/9/23,Permitted,2 YEARS - 5 YEARS,54,Child Care - Pre School,5/8/09,4/17/22,12,40,8,0,40,3/2/22,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,CORRECTED,Compliance Inspection of Open Violations - Reinspection Required; Fines pending
"I LOVE ME EARLY CHILDHOOD CENTER, INC.",BROOKLYN,8/12/22,Permitted,2 YEARS - 5 YEARS,54,Child Care - Pre School,8/12/08,4/17/22,13,20,6,0,20,1/12/22,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
"SHIRA ASSOCIATION, INC.",BROOKLYN,8/4/21,Expired-In Renewal,2 YEARS - 5 YEARS,98,Child Care - Pre School,8/4/05,4/17/22,16,40,34,40,0,3/8/22,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"KIDS RAINBOWLAND NURSERY SCHOOL, INC.",QUEENS,8/25/22,Permitted,2 YEARS - 5 YEARS,57,Child Care - Pre School,9/10/04,4/17/22,17,0,7,0,0,3/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"SUPERIOR DAY CARE, INC.'",BROOKLYN,4/4/22,Expired-In Renewal,0 YEARS - 2 YEARS,30,Child Care - Infants/Toddlers,4/4/14,4/17/22,8,80,8,40,80,3/25/22,"Incident injury log of accidents illness and epi auto injector use Not provided, Not maintained and Not available upon request",GENERAL,OPEN,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending
CLAIRE HEUREUSE COMMUNITY CENTER INC.,QUEENS,10/2/23,Permitted,2 YEARS - 5 YEARS,18,Child Care - Pre School,10/2/17,4/17/22,4,14.2857,3,0,14.2857,1/26/22,Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
EAST SIDE HOUSE SETTLEMENT,BRONX,7/17/20,Expired-In Renewal,2 YEARS - 5 YEARS,27,Child Care - Pre School,12/23/80,4/17/22,41,60,4,0,60,3/8/22,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
CHRISTINA DAY CARE INC.,BROOKLYN,1/22/23,Permitted,2 YEARS - 5 YEARS,36,Child Care - Pre School,1/22/07,4/17/22,15,14.2857,9,0,14.2857,1/12/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ST. JEMUEL GROUP FAMILY DAY CARE INC,BRONX,6/27/23,Permitted,2 YEARS - 5 YEARS,58,Child Care - Pre School,6/27/13,4/17/22,8,40,8,0,40,3/8/22,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"CHINESE - AMERICAN PLANNING COUNCIL, INC",MANHATTAN,3/5/22,Expired-In Renewal,2 YEARS - 5 YEARS,64,Child Care - Pre School,3/5/20,4/17/22,2,0,11,0,0,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"THURSDAY'S CHILD, INC.",BROOKLYN,6/5/22,Permitted,0 YEARS - 2 YEARS,4,Child Care - Infants/Toddlers,6/5/12,4/17/22,9,0,1,0,0,1/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ROYAL CROWN INTERNATIONAL LLC,QUEENS,7/12/23,Permitted,2 YEARS - 5 YEARS,127,Child Care - Pre School,7/12/21,4/17/22,0,50,4,50,50,4/1/22,Teacher to child ratios and group size maintained in Group Child Care program,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"BIRCH FAMILY SERVICES, INC.",BROOKLYN,1/15/22,Expired-In Renewal,2 YEARS - 5 YEARS,164,Child Care - Pre School,10/13/03,4/17/22,18,33.3333,24,33.3333,16.6667,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"A Child's Place Too, Inc",QUEENS,9/17/22,Permitted,2 YEARS - 5 YEARS,83,Child Care - Pre School,9/17/20,4/17/22,1,50,3,50,0,2/23/22,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
SUNSHINE DEVELOPMENTAL  SCHOOL,QUEENS,9/8/23,Permitted,2 YEARS - 5 YEARS,216,Child Care - Pre School,9/6/05,4/17/22,16,50,129,25,50,1/13/22,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"Bright Start Center LIC, Inc.",QUEENS,2/12/23,Permitted,2 YEARS - 5 YEARS,27,Child Care - Pre School,2/12/21,4/17/22,1,50,7,50,50,1/21/22,SCR clearances Not arranged for; clearance review Not conducted; SCR clearance Not repeated every two years,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
CENTRAL SYNAGOGUE,MANHATTAN,11/14/22,Permitted,2 YEARS - 5 YEARS,120,Child Care - Pre School,10/29/04,4/17/22,17,0,17,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"TINY TUNES DAYCARE EVERGREEN, INC.",BRONX,7/9/23,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,7/9/21,4/17/22,0,50,6,0,50,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection
"KREATIVE KARE DAYCARE CENTER, INC.",BROOKLYN,9/25/22,Permitted,2 YEARS - 5 YEARS,61,Child Care - Pre School,10/2/06,4/17/22,15,14.2857,11,0,14.2857,2/18/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE CHILD CENTER OF NEW YORK,QUEENS,6/27/23,Permitted,2 YEARS - 5 YEARS,161,Child Care - Pre School,6/26/09,4/17/22,12,0,16,0,0,1/12/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE SALVATION ARMY,BROOKLYN,7/15/23,Permitted,2 YEARS - 5 YEARS,80,Child Care - Pre School,2/11/05,4/17/22,17,20,8,0,20,3/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"GARDEN OF KNOWLEDGE DAY CARE & LEARNING CENTER,INC.",BROOKLYN,2/10/23,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,1/10/07,4/17/22,15,20,6,20,20,2/11/22,Child Care program designates a certified group teacher as Education Director. Education Director can Not serve more than two programs operated by same legal entity  that are co-located.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
"YELED V'YALDA EARLY CHILDHOOD CENTER, INC.'",STATEN ISLAND,7/28/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,7/26/04,4/17/22,17,0,5,0,0,3/14/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE MONTESSORI SCHOOL OF NEW YORK,MANHATTAN,3/30/23,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,12/27/04,4/17/22,17,0,4,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
NAYEMA UNIVERSAL CHILD CENTER INC.,BROOKLYN,4/13/23,Permitted,2 YEARS - 5 YEARS,18,Child Care - Pre School,4/12/05,4/17/22,17,75,2,25,75,3/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"MILLIE'S WORLD, INC.",QUEENS,6/5/23,Permitted,2 YEARS - 5 YEARS,36,Child Care - Pre School,6/5/17,4/17/22,4,0,17,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
THE ACORN SCHOOL,MANHATTAN,1/1/00,Permitted,2 YEARS - 5 YEARS,68,Child Care - Pre School,9/7/03,4/17/22,18,0,16,0,0,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
HEAVEN'S TINY TOTS INC.,MANHATTAN,4/16/22,Permitted,2 YEARS - 5 YEARS,48,Child Care - Pre School,4/16/18,4/17/22,4,20,7,20,0,2/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.",QUEENS,7/1/23,Permitted,2 YEARS - 5 YEARS,52,Child Care - Pre School,7/1/11,4/17/22,10,33.3333,8,16.6667,33.3333,1/13/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
GARDEN SCHOOL,QUEENS,2/4/24,Permitted,2 YEARS - 5 YEARS,122,Child Care - Pre School,1/28/04,4/17/22,18,25,12,0,25,3/29/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"PROJECT SOCIAL CARE HEAD START, INC.",BROOKLYN,12/23/22,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,12/23/08,4/17/22,13,14.2857,15,14.2857,0,1/27/22,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required
WAKE EDEN COMMUNITY BAPTIST CHURCH,BRONX,12/29/22,Permitted,2 YEARS - 5 YEARS,74,Child Care - Pre School,12/15/04,4/17/22,17,0,9,0,0,2/15/22,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,CORRECTED,None
"LITTLE SUNSHINE, INC.",BROOKLYN,12/23/23,Permitted,2 YEARS - 5 YEARS,92,Child Care - Pre School,12/23/13,4/17/22,8,0,9,0,0,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
YMCA OF GREATER NY,QUEENS,7/29/23,Permitted,2 YEARS - 5 YEARS,86,Child Care - Pre School,1/2/79,4/17/22,43,12.5,15,0,12.5,3/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"UTOPIA CHILDREN'S CENTER, INC.",MANHATTAN,9/29/21,Expired-In Renewal,2 YEARS - 5 YEARS,60,Child Care - Pre School,5/1/02,4/17/22,19,25,5,0,25,3/24/22,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"THE DOWNING STREET PLAYGROUP, INC.",MANHATTAN,6/8/22,Permitted,2 YEARS - 5 YEARS,15,Child Care - Pre School,3/26/04,4/17/22,18,0,3,0,0,3/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LACONIA DAYCARE CENTER & INFANT CARE INC.,BRONX,4/13/22,Permitted,0 YEARS - 2 YEARS,28,Child Care - Infants/Toddlers,4/13/12,4/17/22,10,66.6667,6,33.3333,66.6667,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"THE S. A. M. ADVISORY COUNCIL, INC.",MANHATTAN,11/2/21,Expired-In Renewal,2 YEARS - 5 YEARS,72,Child Care - Pre School,11/2/11,4/17/22,10,66.6667,15,66.6667,33.3333,2/23/22,Frozen food observed being thawed by unacceptable method at time of inspection.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
INTERDISCIPLINARY CENTER FOR CHILD DEVELOPMENT INC.,QUEENS,8/31/22,Permitted,2 YEARS - 5 YEARS,147,Child Care - Pre School,10/10/04,4/17/22,17,14.2857,32,0,14.2857,3/31/22,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"IT'S MY TURN DAYCARE, INC,",QUEENS,11/8/23,Permitted,2 YEARS - 5 YEARS,22,Child Care - Pre School,11/8/13,4/17/22,8,0,3,0,0,3/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"NYC EARLY LEARNING COMPANY, INC",BRONX,6/21/23,Permitted,2 YEARS - 5 YEARS,105,Child Care - Pre School,6/21/19,4/17/22,2,60,11,20,60,3/28/22,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,CORRECTED,Compliance Inspection of Open Violations - Reinspection Required; Fines pending
"B'ABOVE WORLDWIDE INSTITUTE, INC.",BROOKLYN,8/29/22,Permitted,2 YEARS - 5 YEARS,99,Child Care - Pre School,8/29/16,4/17/22,5,0,22,0,0,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CITY OF FAITH CHURCH OF GOD, INC.",BRONX,8/30/23,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,7/21/03,4/17/22,18,33.3333,7,0,33.3333,3/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
BRONXWORK,BRONX,1/5/23,Permitted,2 YEARS - 5 YEARS,55,Child Care - Pre School,11/25/04,4/17/22,17,100,7,0,100,2/23/22,Constant and competent supervision provided by adequate staff for children and groups of children,PUBLIC HEALTH HAZARD,CORRECTED,None
CHILDREN'S HARBOR MONTESSORI SCHOOL,STATEN ISLAND,9/10/23,Permitted,2 YEARS - 5 YEARS,80,Child Care - Pre School,9/10/13,4/17/22,8,33.3333,29,0,33.3333,1/5/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"KENNEDY CHILDREN'S CENTER, INC.",MANHATTAN,8/7/23,Permitted,2 YEARS - 5 YEARS,177,Child Care - Pre School,8/7/15,4/17/22,6,0,63,0,0,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"BUSHWICK UNITED HOUSING DEVELOPMENT FUND, CORPORATION",BROOKLYN,9/19/23,Permitted,2 YEARS - 5 YEARS,128,Child Care - Pre School,9/19/05,4/17/22,16,25,19,0,25,1/13/22,Food service establishments and Non-retail food processing establishments have adequate lighting for all areas of the premises 540 LUX in food prep areas 215 LUX in self serve areas;,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
Very Important People Day Care II,QUEENS,9/19/22,Permitted,0 YEARS - 2 YEARS,28,Child Care - Infants/Toddlers,9/19/16,4/17/22,5,0,4,0,0,1/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"WONDER YEARS DAYCARE, INC.",BROOKLYN,12/10/20,Expired-In Renewal,2 YEARS - 5 YEARS,29,Child Care - Pre School,12/10/14,4/17/22,7,60,4,20,60,3/18/22,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
BRIGHT HORIZONS CHILDREN'S CENTER LLC,MANHATTAN,9/25/22,Permitted,0 YEARS - 2 YEARS,36,Child Care - Infants/Toddlers,9/25/18,4/17/22,3,0,3,0,0,3/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LA ESCUELITA DE SOFIA,BRONX,4/5/22,Permitted,2 YEARS - 5 YEARS,21,Child Care - Pre School,4/5/16,4/17/22,6,80,4,40,60,1/27/22,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
MAGNOLIA DAYCARE LLC,QUEENS,3/20/23,Permitted,0 YEARS - 2 YEARS,26,Child Care - Infants/Toddlers,3/20/19,4/17/22,3,12.5,6,0,12.5,1/26/22,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,CORRECTED,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection
